            Guess        True
0      356.830566  356.946408
1      330.258514  330.307013
2      395.757050  395.954034
3      377.268402  377.496390
4      311.974426  311.990432
5      350.050812  350.052320
6      313.781555  313.716335
7      375.257507  375.471847
8      351.610657  351.651887
9      416.528992  416.628991
10     380.573608  380.690751
11     420.373840  420.613071
12     321.497070  321.593319
13     334.349854  334.334972
14     416.052917  416.196209
15     356.567993  356.556989
16     430.379639  430.596289
17     340.155792  340.145061
18     352.628479  352.558676
19     355.093262  355.009316
20     397.821747  398.018642
21     311.858978  311.775561
22     312.236084  312.143390
23     378.968994  379.128140
24     413.944458  414.198914
25     310.270905  310.211156
26     372.189819  372.358513
27     348.178955  348.177807
28     310.414337  310.388332
29     315.609772  315.454792
30     390.563782  390.759482
31     322.145142  322.250362
32     313.893188  313.832698
33     316.804962  316.812661
34     327.379700  327.504482
35     319.158966  319.200924
36     348.532440  348.527064
37     376.635162  376.768578
38     333.148102  333.234864
39     310.925537  310.862155
40     337.740295  337.786925
41     318.192352  318.225894
42     424.162384  424.379501
43     311.784576  311.710798
44     390.542114  390.520943
45     318.190613  318.222916
46     431.772400  431.853633
47     321.146667  321.224583
48     332.481262  332.484134
49     420.939545  421.037403
50     370.346436  370.310375
51     372.324585  372.532413
52     310.649200  310.623679
53     346.598328  346.669297
54     314.892578  314.876878
55     427.270294  427.426380
56     348.194031  348.362703
57     310.648315  310.661461
58     311.080841  311.049168
59     327.450287  327.568903
60     380.243805  380.431205
61     334.710419  334.709880
62     414.915405  415.137380
63     427.788788  427.930049
64     315.210815  315.174292
65     322.222778  322.305941
66     430.399597  430.529952
67     424.824860  424.890804
68     380.355255  380.594486
69     319.130249  319.186300
70     323.795776  323.774886
71     344.933655  344.835030
72     321.713196  321.716182
73     358.698975  358.856368
74     396.827393  397.080940
75     313.139221  313.110453
76     312.087250  312.008912
77     366.735962  366.901519
78     312.541840  312.532212
79     311.482910  311.415774
80     430.997986  431.185954
81     320.923981  320.992640
82     334.157837  334.171093
83     343.453064  343.382919
84     336.435913  336.419893
85     375.102478  375.267104
86     317.942291  317.963439
87     356.979767  357.122853
88     312.357208  312.294888
89     362.962097  362.984091
90     428.082428  428.292998
91     322.058441  322.159036
92     314.421387  314.348273
93     385.441956  385.543382
94     326.093994  326.216950
95     319.652374  319.709407
96     405.486450  405.836340
97     330.572418  330.673203
98     354.631653  354.608656
99     310.643951  310.635191
100    416.869476  417.120908
101    313.305786  313.212300
102    345.800476  345.867576
103    359.659393  359.679023
104    343.970215  343.975351
105    310.469330  310.487660
106    350.209991  350.259015
107    428.282104  428.489009
108    341.679199  341.753441
109    379.766479  379.930506
110    341.028137  340.921821
