          Guess   True
0      0.184477  0.235
1      0.184477  0.235
2      0.184477  0.235
3      0.184477  0.235
4      0.184477  0.235
5      0.184477  0.235
6      0.184477  0.235
7      0.184477  0.235
8      0.184477  0.235
9      0.184477  0.235
10     0.184477  0.235
11     0.184477  0.235
12     0.184477  0.235
13     0.184477  0.235
14     0.184477  0.235
15     0.184477  0.235
16     0.184477  0.235
17     0.184477  0.445
18     0.184477  0.235
19     0.184477  0.445
20     0.184477  0.235
21     0.184477  0.235
22     0.184477  0.235
23     0.184477  0.235
24     0.184477  0.235
25     0.184477  0.235
26     0.184477  0.235
27     0.184477  0.235
28     0.184477  0.235
29     0.184477  0.235
30     0.184477  0.235
31     0.184477  0.235
32     0.184477  0.235
33     0.184477  0.235
34     0.184477  0.235
35     0.184477  0.235
36     0.184477  0.235
37     0.184477  0.235
38     0.184477  0.235
39     0.184477  0.235
40     0.184477  0.235
41     0.184477  0.235
42     0.184477  0.235
43     0.184477  0.235
44     0.184477  0.235
45     0.184477  0.445
46     0.184477  0.235
47     0.184477  0.235
48     0.184477  0.235
49     0.184477  0.235
50     0.184477  0.235
51     0.184477  0.235
52     0.184477  0.235
53     0.184477  0.235
54     0.184477  0.235
55     0.184477  0.235
56     0.184477  0.235
57     0.184477  0.235
58     0.184477  0.235
59     0.184477  0.235
60     0.184477  0.235
61     0.184477  0.445
62     0.184477  0.235
63     0.184477  0.235
64     0.184477  0.235
65     0.184477  0.235
66     0.184477  0.235
67     0.184477  0.235
68     0.184477  0.235
69     0.184477  0.235
70     0.184477  0.235
71     0.184477  0.235
72     0.184477  0.235
73     0.184477  0.235
74     0.184477  0.235
75     0.184477  0.235
76     0.184477  0.235
77     0.184477  0.445
78     0.184477  0.235
79     0.184477  0.235
80     0.184477  0.235
81     0.184477  0.235
82     0.184477  0.235
83     0.184477  0.235
84     0.184477  0.235
85     0.184477  0.235
86     0.184477  0.235
87     0.184477  0.235
88     0.184477  0.235
89     0.184477  0.235
90     0.184477  0.235
91     0.184477  0.235
92     0.184477  0.235
93     0.184477  0.235
94     0.184477  0.235
95     0.184477  0.235
96     0.184477  0.235
97     0.184477  0.235
98     0.184477  0.235
99     0.184477  0.235
100    0.184477  0.235
101    0.184477  0.235
102    0.184477  0.235
103    0.184477  0.235
104    0.184477  0.235
105    0.184477  0.235
106    0.184477  0.235
107    0.184477  0.235
108    0.184477  0.445
109    0.184477  0.235
110    0.184477  0.235
111    0.184477  0.235
112    0.184477  0.235
113    0.184477  0.235
114    0.184477  0.235
115    0.184477  0.235
116    0.184477  0.235
117    0.184477  0.235
118    0.184477  0.235
