            Guess        True
0      352.614471  352.624025
1      328.337341  328.321067
2      368.056091  368.071780
3      313.386566  313.360364
4      367.489258  367.505693
5      320.414825  320.453213
6      337.301880  337.342901
7      311.663940  311.613294
8      311.992523  311.944407
9      366.933411  366.905018
10     310.222656  310.205051
11     366.302429  366.317160
12     310.351044  310.364704
13     321.008148  321.045179
14     313.480225  313.465141
15     316.366577  316.294462
16     325.786865  325.781536
17     318.254364  318.298379
18     330.983887  330.956190
19     310.821686  310.791066
20     335.107117  335.077664
21     317.384094  317.420347
22     311.605438  311.554996
23     317.382233  317.417662
24     320.093872  320.120948
25     330.326447  330.315753
26     365.757019  365.781072
27     310.591614  310.576404
28     343.167053  343.170714
29     314.419983  314.412361
30     344.728455  344.729729
31     310.631958  310.610405
32     310.996826  310.959411
33     325.850433  325.840009
34     369.579956  369.568359
35     332.338745  332.337729
36     314.667755  314.672861
37     321.051758  321.094998
38     367.828857  367.842848
39     318.252655  318.285135
40     322.498688  322.533550
41     320.735291  320.737235
42     354.354248  354.333519
43     312.807434  312.815045
44     311.869263  311.823355
45     361.345947  361.351867
46     312.280029  312.296170
47     311.315399  311.289428
48     319.877106  319.912141
49     332.083313  332.095384
50     333.963013  334.000562
51     368.574493  368.587477
52     317.145172  317.184226
53     352.786835  352.765010
54     312.102417  312.080799
55     320.936432  320.962707
56     313.947296  313.929239
57     324.615021  324.620139
58     318.721008  318.756200
59     328.660614  328.641270
60     310.609009  310.586758
61     312.943359  312.906629
62     342.426392  342.434585
63     340.809906  340.851549
64     310.466858  310.453953
65     346.441223  346.453237
66     338.696228  338.684161
67     368.532867  368.517624
68     312.872467  312.819303
69     311.807251  311.775410
70     362.272369  362.317788
71     310.647644  310.618723
72     314.582672  314.587372
73     311.083069  311.042900
74     319.867615  319.906436
75     339.776855  339.770853
76     370.138245  370.141709
77     310.567017  310.533958
78     324.987091  324.990293
79     318.324249  318.360711
80     310.275787  310.248839
81     321.208008  321.236889
82     312.395874  312.352718
83     324.672760  324.669598
84     334.803833  334.774983
85     334.951996  334.985035
86     312.844696  312.805977
87     363.187561  363.188161
88     317.331207  317.361849
89     320.131165  320.122113
90     352.386688  352.397112
91     336.842102  336.861584
92     310.782318  310.755310
93     311.410767  311.400744
94     364.428131  364.452159
95     312.471771  312.425471
96     311.010559  310.965320
97     330.112640  330.099625
98     311.041046  311.001566
99     313.804443  313.790569
100    311.453705  311.410306
101    311.245117  311.210235
102    317.845398  317.846966
103    313.273834  313.246444
104    362.188721  362.209920
105    312.162262  312.113016
106    322.308319  322.281662
107    320.698822  320.732579
108    321.994232  322.017128
109    316.115509  316.134158
110    319.017609  318.988143
111    361.388153  361.418835
112    311.067078  311.031823
113    311.553711  311.501034
114    311.940613  311.887888
115    360.492798  360.487689
116    317.883026  317.921613
117    316.746735  316.775303
118    311.054138  311.007912
119    311.530670  311.541133
120    352.833832  352.828043
121    346.554352  346.571913
122    360.544037  360.537879
123    312.862152  312.825918
124    319.504303  319.538234
125    322.222565  322.200513
126    311.621552  311.569581
127    324.000336  324.021868
128    310.745911  310.709616
129    355.138916  355.119753
130    314.636749  314.646118
131    310.476349  310.445662
132    321.307434  321.341742
133    310.955658  310.919631
134    367.014282  367.029214
135    311.310516  311.282942
136    331.728577  331.731978
137    324.260773  324.274250
138    366.942993  366.972936
139    366.128174  366.126910
140    365.205109  365.215506
141    318.283325  318.288462
142    313.590942  313.568125
143    310.406036  310.397035
144    311.920288  311.872681
145    319.277771  319.307478
146    313.208954  313.236144
147    364.356506  364.382896
148    316.747711  316.776833
149    323.829681  323.846803
150    333.080963  333.113241
151    342.680725  342.707324
152    313.907898  313.908337
153    311.812073  311.760390
154    355.186829  355.186655
155    342.007324  342.001470
156    334.644531  334.658290
157    350.936157  350.956749
158    312.138580  312.091000
159    320.914093  320.943763
160    321.323822  321.358968
161    333.274872  333.287777
162    311.999908  311.948804
163    330.221252  330.251333
164    311.992615  311.944462
165    344.807587  344.805782
166    316.956238  316.995241
167    310.595917  310.586841
168    313.259369  313.230520
169    312.071075  312.020467
170    310.623566  310.592630
171    310.303589  310.298897
172    321.494476  321.524925
173    310.897247  310.868722
174    319.079010  319.100705
175    338.171051  338.146041
176    310.319916  310.306634
177    312.389954  312.343696
178    321.559143  321.600470
179    342.348175  342.348234
180    311.045959  311.003443
181    315.796936  315.823534
182    360.796539  360.833626
183    310.501862  310.519348
184    324.308746  324.308359
185    349.090576  349.088950
186    317.154022  317.182173
187    314.487762  314.481244
188    314.215118  314.205243
189    313.382904  313.358685
190    316.337402  316.358763
191    323.828247  323.845179
192    316.115295  316.133974
193    317.867523  317.895321
194    311.008881  310.964214
195    311.196014  311.185177
196    312.093079  312.048318
197    329.501251  329.485131
198    310.466095  310.501234
199    311.247253  311.244661
200    317.132660  317.157800
201    365.724182  365.760675
202    322.632446  322.615544
203    364.660309  364.658191
204    321.601593  321.624908
205    312.524475  312.537591
206    325.069183  325.064145
207    322.229370  322.244807
208    347.972351  347.989344
209    318.272736  318.315135
210    314.940399  314.944131
211    313.159821  313.132483
212    313.013153  313.024605
213    312.623260  312.630041
214    310.540161  310.527813
215    310.578979  310.558901
216    312.271362  312.230785
217    311.490662  311.440804
218    311.341522  311.335254
219    367.891479  367.905682
220    311.804169  311.745249
221    310.887634  310.860202
222    323.782074  323.778101
223    311.939148  311.886497
224    342.308014  342.314428
225    345.293976  345.307949
226    317.754425  317.792095
227    311.687683  311.678308
228    315.898315  315.931285
229    313.692749  313.668111
230    310.832092  310.827313
231    318.497040  318.518171
232    311.276520  311.236155
233    313.260773  313.232892
234    310.461334  310.482636
235    311.942749  311.890806
236    311.360046  311.359482
237    321.814301  321.786837
238    316.581451  316.604161
239    315.406464  315.414470
240    311.393036  311.342023
241    310.623383  310.590321
242    316.329346  316.351028
243    315.214142  315.219793
244    311.787781  311.738848
245    361.332550  361.335683
246    311.407318  311.366272
247    342.584167  342.573660
248    322.911255  322.926203
249    355.837555  355.838258
250    310.733826  310.701634
251    312.009735  311.957713
252    319.210510  319.248215
253    368.035126  368.051314
254    330.479431  330.509632
255    326.983704  326.969555
256    310.929047  310.886135
257    310.240906  310.219689
258    313.369263  313.342822
259    325.704529  325.703664
260    310.359009  310.349700
261    320.084869  320.126806
262    317.700165  317.731758
263    310.827698  310.796130
264    351.257568  351.238127
265    313.160858  313.151782
266    314.909180  314.937952
267    335.455139  335.486201
268    310.373260  310.351334
269    310.886719  310.862026
270    312.920990  312.891615
271    331.667084  331.634051
272    311.817139  311.768048
273    311.372864  311.386805
274    314.191559  314.198864
275    310.569366  310.552843
276    329.792847  329.781597
277    310.793549  310.767022
278    333.904144  333.930304
279    319.778137  319.810998
280    313.454010  313.481517
281    334.414673  334.452614
282    354.444214  354.461179
283    322.708099  322.688910
284    345.517883  345.510674
285    355.918365  355.919953
286    369.353363  369.363365
287    320.608337  320.604640
288    338.593475  338.576756
289    312.850616  312.813304
290    324.272675  324.275752
291    311.095276  311.048415
292    344.925476  344.962817
293    329.738922  329.719591
294    350.525635  350.513286
295    314.446808  314.450926
296    328.343750  328.322589
297    365.445801  365.457749
298    327.819092  327.806179
299    339.103302  339.113065
300    313.367249  313.339973
301    315.969818  315.988092
302    320.537933  320.513711
303    311.146118  311.098046
304    313.454651  313.481716
305    310.946472  310.929773
306    360.491211  360.486161
307    349.575867  349.584221
308    311.164825  311.153762
309    310.798431  310.770001
310    323.508148  323.518582
311    327.892120  327.887824
312    322.114441  322.143675
313    316.095642  316.116097
314    320.289673  320.331389
315    333.509613  333.557232
316    311.867279  311.885619
317    348.202026  348.189480
318    338.850220  338.836492
319    325.346832  325.347772
320    334.053558  334.059891
321    322.543030  322.555941
322    312.565399  312.551522
323    314.837646  314.844032
324    318.796631  318.840800
325    324.554413  324.562867
326    310.582306  310.556844
327    317.338074  317.368177
328    314.108856  314.102720
329    365.513763  365.531470
330    342.696442  342.726725
331    325.359955  325.361325
332    362.202545  362.223204
333    332.026825  332.002878
334    311.276794  311.230190
335    320.975586  320.999025
336    332.175140  332.144689
337    312.910339  312.881020
338    311.161285  311.180056
339    317.136322  317.163908
340    313.344879  313.313230
341    310.613434  310.600125
342    310.846375  310.838294
343    310.459015  310.446603
344    334.168365  334.184175
345    358.983490  358.978575
346    311.364563  311.379877
347    310.265778  310.239603
348    310.980743  310.947529
349    310.758820  310.732752
350    313.706604  313.686351
351    315.958771  315.976424
352    310.304352  310.293068
353    311.381531  311.332630
354    336.513794  336.506894
355    310.679810  310.656247
356    315.586639  315.618088
357    313.831268  313.813629
358    310.890350  310.848595
359    340.449036  340.443132
360    349.669098  349.656913
361    311.693146  311.708800
362    317.580048  317.617630
363    322.245392  322.266028
364    319.566986  319.602145
365    370.523773  370.504528
366    322.797150  322.781171
367    344.609833  344.649472
368    313.001251  313.018018
369    311.315765  311.293888
370    317.308380  317.348774
371    311.132080  311.089040
372    324.686798  324.684111
373    321.147888  321.179524
374    312.665375  312.626456
375    319.461975  319.433669
376    313.265686  313.240778
377    330.680664  330.646970
378    315.479584  315.490113
