            Guess        True
0      405.336395  405.895903
1      312.219116  311.937452
2      348.633331  348.689678
3      356.998901  358.328899
4      413.180695  413.114912
5      382.617584  383.797252
6      415.900482  415.668406
7      333.488098  333.528327
8      410.621674  410.509350
9      354.616852  354.773764
10     426.667725  426.452870
11     350.338837  350.627327
12     352.506683  352.549358
13     402.790955  403.769909
14     409.330109  409.493124
15     346.865631  346.903420
16     315.785461  315.100882
17     415.884064  414.555563
18     347.113037  347.192591
19     419.795013  419.402306
20     387.087830  387.069944
21     428.043518  428.080230
22     415.689087  415.445977
23     367.459686  367.622715
24     423.063599  422.680337
25     409.926453  409.987157
26     423.632812  423.250918
27     426.533997  426.392267
28     419.932556  419.733922
29     343.003235  342.633545
30     408.607056  408.274887
31     427.263977  427.178569
32     341.615723  340.964918
33     360.978546  361.067471
34     424.246643  423.828420
35     382.529785  383.114817
36     407.632568  408.379212
37     352.681885  352.865823
38     412.510071  412.504014
39     358.067139  358.067750
40     424.433197  424.012689
41     339.377472  338.918625
42     426.785522  426.673198
43     391.692413  391.520243
44     423.914337  423.748190
45     398.067108  399.193554
46     425.339508  424.967331
47     365.940582  365.983429
48     331.747864  332.093799
49     418.140350  417.845586
50     363.255341  363.408488
51     409.731079  409.577033
52     414.792053  414.558058
53     413.094940  412.990198
54     426.004395  425.687079
55     399.559265  400.411602
56     395.552155  395.532898
57     370.449371  370.447007
58     406.522583  407.208199
59     396.930176  396.874511
60     420.820374  420.403269
61     397.418762  398.548359
62     397.285889  397.427343
63     401.731018  402.230920
64     423.949280  423.563875
65     423.943726  423.558071
66     426.382599  426.209017
67     374.208801  374.215761
68     390.053009  389.873944
69     390.351807  390.342866
70     427.294617  427.210557
71     310.838165  311.072134
72     344.223663  344.267876
73     426.524658  426.242781
74     409.236328  408.816352
75     407.188995  408.021162
76     422.894226  422.130068
77     354.394104  353.931686
78     425.108459  424.734042
79     424.501526  424.093292
80     400.392334  400.303160
81     410.146515  410.214747
82     411.290253  410.075650
83     324.232086  323.520479
84     412.562897  410.803054
85     427.024536  427.040921
86     344.985535  344.871374
87     335.014832  335.056313
88     352.321777  352.487698
89     427.261353  427.049245
90     388.662537  389.488481
91     399.466309  399.656535
92     348.345795  347.786636
93     425.726593  425.423125
94     364.408478  364.416645
95     410.710144  410.719306
96     417.828674  417.667986
97     427.134949  427.307991
98     385.938477  386.730848
99     385.182983  384.979131
100    422.547119  422.252770
101    425.283722  424.915989
102    373.279846  373.355229
103    406.796021  407.588746
104    423.796204  423.354600
105    425.526550  425.258851
106    363.838715  364.865207
107    413.623169  418.358049
108    369.108582  369.205622
109    405.143250  405.516088
110    427.183472  427.202583
111    410.542084  410.760136
112    381.305542  381.317258
113    369.687622  369.492370
114    408.234222  408.994339
115    391.921509  391.889643
116    365.905701  365.875326
117    371.927063  373.142834
118    356.401947  356.267054
119    422.540100  422.244011
120    424.690735  424.280972
121    320.694366  321.262258
122    401.806763  401.718706
123    317.514313  317.299336
124    376.316223  377.252826
125    406.388855  406.842147
126    427.153015  427.166071
127    326.384888  329.006320
128    424.775940  424.388628
129    412.121765  410.519603
130    393.548431  393.555555
131    345.483765  345.550229
132    341.703278  341.606884
133    391.995758  392.976223
134    328.570740  327.761791
135    402.206970  402.561489
136    351.321289  351.016361
137    411.245758  410.045638
138    423.881042  423.449181
139    333.229797  332.608306
140    409.846100  409.257624
141    413.084137  412.978609
142    418.105713  417.905474
143    419.541504  419.156502
144    319.731018  319.287004
145    406.222443  406.659097
146    422.156952  421.786305
147    366.807159  366.622286
148    414.554077  414.482359
149    420.522827  420.114759
150    398.353058  398.445578
