            Guess        True
0      381.888214  381.912617
1      343.132690  343.169750
2      313.945526  313.910010
3      325.789673  325.824405
4      363.758636  363.757660
5      311.695465  311.611441
6      312.105865  312.016985
7      310.233063  310.196432
8      310.554596  310.522467
9      326.902557  326.932548
10     314.307190  314.317506
11     336.408966  336.337205
12     322.017853  322.097131
13     347.389771  347.368711
14     310.842377  310.796027
15     356.484314  356.576617
16     320.325073  320.376250
17     311.621063  311.541591
18     320.322113  320.372946
19     325.196533  325.232604
20     349.110779  349.170257
21     310.691406  310.698423
22     375.004089  374.995890
23     318.036499  318.057136
24     377.165039  377.168147
25     310.540741  310.539830
26     310.925995  310.880333
27     336.480164  336.422396
28     353.642578  353.664036
29     315.863342  315.867851
30     327.114807  327.141586
31     321.832550  321.913645
32     313.722504  313.753371
33     312.036896  311.963764
34     313.916870  313.892924
35     311.491455  311.466980
36     324.768799  324.810270
37     320.323792  320.397148
38     380.044922  380.081954
39     312.484680  312.469850
40     326.792847  326.821551
41     314.781036  314.757293
42     334.046570  333.983005
43     322.694916  322.763049
44     342.431610  342.364426
45     310.532043  310.515522
46     313.330383  313.281441
47     373.535645  373.521103
48     310.418945  310.408165
49     382.485474  382.461180
50     364.710144  364.777032
51     312.042145  311.998873
52     310.569794  310.543875
53     315.969940  316.021059
54     311.020721  310.967628
55     324.758179  324.802783
56     367.390656  367.430983
57     310.586060  310.553097
58     334.805450  334.734551
59     321.958008  322.009175
60     310.280792  310.245691
61     327.336914  327.355692
62     312.677979  312.615332
63     334.109558  334.053931
64     355.691956  355.723394
65     360.308167  360.301459
66     313.195374  313.143327
67     320.228149  320.304218
68     328.188812  328.185673
69     386.564209  386.836585
70     310.769592  310.713171
71     311.778534  311.782050
72     312.714722  312.634849
73     310.941467  310.884996
74     348.507172  348.575087
75     310.973969  310.923881
76     314.711823  314.726276
77     311.497040  311.419567
78     311.323181  311.262701
79     313.787140  313.748470
80     312.299988  312.223328
81     333.817078  333.846204
82     326.328979  326.352839
83     329.997620  329.936174
84     318.172028  318.235115
85     327.393311  327.415259
86     311.094849  311.024161
87     311.552704  311.476770
88     312.021027  311.941648
89     322.120514  322.143700
90     319.232727  319.281026
91     310.984467  310.928928
92     312.639648  312.628300
93     379.380920  379.380521
94     313.212646  313.163006
95     324.118927  324.177787
96     332.675842  332.717057
97     311.616608  311.554240
98     332.705566  332.706461
99     310.664185  310.630999
100    316.128479  316.184429
101    310.475616  310.436202
102    327.475708  327.497692
103    310.881500  310.839483
104    311.468567  311.438922
105    333.902466  333.830507
106    324.518585  324.491525
107    314.239105  314.220151
108    310.353638  310.356422
109    312.020264  311.927906
110    323.686646  323.738962
111    315.088867  315.062814
112    319.235138  319.282871
113    333.316132  333.244728
114    356.302399  356.302015
115    315.049713  315.087488
116    311.844727  311.782227
117    372.067139  372.048628
118    359.055878  359.022981
119    312.331085  312.253621
120    326.771027  326.796038
121    327.491577  327.521002
122    356.329254  356.301207
123    312.107666  312.020992
124    312.106018  312.017035
125    376.824951  376.853028
126    320.120026  320.187944
127    310.729248  310.736698
128    313.775391  313.732255
129    312.198944  312.111669
130    310.630066  310.588916
131    310.260284  310.272836
132    327.897522  327.915252
133    310.850189  310.803635
134    324.945343  324.905844
135    363.434143  363.476594
136    310.289948  310.282551
137    312.596436  312.525764
138    328.140991  328.145790
139    373.472046  373.464420
140    310.979340  310.925375
141    319.647675  319.613391
142    310.434662  310.443539
143    333.373413  333.323111
144    380.876282  380.839104
145    319.919281  319.977832
146    315.591461  315.591689
147    315.164551  315.168020
148    313.943848  313.908287
149    318.526733  318.591830
150    318.171509  318.234897
151    321.144226  321.187747
152    310.941345  310.884124
153    311.507599  311.510633
154    312.293091  312.224144
155    344.403625  344.383187
156    310.394165  310.429235
157    311.659119  311.661808
158    321.803955  321.771181
159    332.909454  332.923101
160    328.050873  328.051499
161    313.496918  313.515419
162    334.895660  334.841022
163    329.267700  329.253127
164    384.113373  384.119728
165    322.214539  322.278945
166    316.272308  316.306954
167    313.633911  313.589518
168    314.056671  314.091507
169    313.476593  313.503330
170    310.448822  310.463664
171    310.554108  310.519297
172    312.571594  312.516479
173    311.480988  311.407814
174    311.737152  311.741653
175    310.841858  310.795893
176    334.077454  334.030461
177    312.018494  311.940392
178    373.454498  373.431336
179    321.920959  321.943957
180    312.110413  312.115208
181    319.297424  319.295772
182    314.400757  314.374917
183    311.082733  311.085478
184    324.063904  324.025842
185    311.282227  311.209257
186    313.779205  313.734670
187    310.371338  310.417481
188    312.023560  311.944283
189    311.829346  311.831926
190    332.635315  332.674510
191    318.940552  318.978483
192    317.014893  317.063637
193    311.352966  311.291932
194    310.644562  310.608504
195    318.509125  318.582624
196    316.758118  316.808817
197    311.852325  311.763082
198    311.492889  311.415972
199    373.532745  373.511344
200    330.590485  330.569379
201    310.759888  310.719710
202    312.106140  312.029108
203    323.591553  323.662048
204    342.954773  342.996935
205    310.855011  310.804289
206    310.252502  310.210504
207    313.930786  313.892008
