          Guess   True
0      0.267915  0.235
1      0.267915  0.235
2      0.267915  0.235
3      0.267915  0.235
4      0.267915  0.235
5      0.267915  0.235
6      0.267915  0.235
7      0.267915  0.235
8      0.267915  0.235
9      0.267915  0.235
10     0.267915  0.235
11     0.267915  0.235
12     0.267915  0.235
13     0.267915  0.235
14     0.267915  0.235
15     0.267915  0.235
16     0.267915  0.235
17     0.267915  0.235
18     0.267915  0.235
19     0.267915  0.235
20     0.267915  0.235
21     0.267915  0.235
22     0.267915  0.235
23     0.267915  0.235
24     0.267915  0.235
25     0.267915  0.235
26     0.267915  0.235
27     0.267915  0.235
28     0.267915  0.235
29     0.267915  0.235
30     0.267915  0.235
31     0.267915  0.235
32     0.267915  0.235
33     0.267915  0.235
34     0.267915  0.235
35     0.267915  0.235
36     0.267915  0.235
37     0.267915  0.235
38     0.267915  0.235
39     0.267915  0.235
40     0.267915  0.235
41     0.267915  0.235
42     0.267915  0.235
43     0.267915  0.235
44     0.267915  0.235
45     0.267915  0.235
46     0.267915  0.235
47     0.267915  0.235
48     0.267915  0.235
49     0.267915  0.235
50     0.267915  0.235
51     0.267915  0.235
52     0.267915  0.235
53     0.267915  0.235
54     0.267915  0.235
55     0.267915  0.235
56     0.267915  0.235
57     0.267915  0.235
58     0.267915  0.235
59     0.267915  0.235
60     0.267915  0.235
61     0.267915  0.235
62     0.267915  0.235
63     0.267915  0.235
64     0.267915  0.235
65     0.267915  0.235
66     0.267915  0.235
67     0.267915  0.235
68     0.267915  0.235
69     0.267915  0.235
70     0.267915  0.235
71     0.267915  0.235
72     0.267915  0.235
73     0.267915  0.235
74     0.267915  0.235
75     0.267915  0.235
76     0.267915  0.235
77     0.267915  0.235
78     0.267915  0.235
79     0.267915  0.235
80     0.267915  0.235
81     0.267915  0.235
82     0.267915  0.235
83     0.267915  0.235
84     0.267915  0.235
85     0.267915  0.235
86     0.267915  0.235
87     0.267915  0.235
88     0.267915  0.235
89     0.267915  0.235
90     0.267915  0.235
91     0.267915  0.235
92     0.267915  0.235
93     0.267915  0.235
94     0.267915  0.235
95     0.267915  0.235
96     0.267915  0.235
97     0.267915  0.235
98     0.267915  0.235
99     0.267915  0.235
100    0.267915  0.235
101    0.267915  0.235
102    0.267915  0.235
103    0.267915  0.235
104    0.267915  0.235
105    0.267915  0.235
106    0.267915  0.235
107    0.267915  0.235
108    0.267915  0.235
109    0.267915  0.235
110    0.267915  0.235
111    0.267915  0.235
112    0.267915  0.235
113    0.267915  0.235
114    0.267915  0.235
115    0.267915  0.235
116    0.267915  0.235
117    0.267915  0.235
118    0.267915  0.235
119    0.267915  0.235
120    0.267915  0.235
121    0.267915  0.235
122    0.267915  0.235
123    0.267915  0.235
124    0.267915  0.235
125    0.267915  0.235
126    0.267915  0.235
127    0.267915  0.235
128    0.267915  0.235
129    0.267915  0.235
130    0.267915  0.235
131    0.267915  0.235
132    0.267915  0.235
133    0.267915  0.235
134    0.267915  0.235
135    0.267915  0.235
136    0.267915  0.235
137    0.267915  0.235
138    0.267915  0.235
139    0.267915  0.235
140    0.267915  0.235
141    0.267915  0.235
142    0.267915  0.235
143    0.267915  0.235
144    0.267915  0.235
145    0.267915  0.235
146    0.267915  0.235
147    0.267915  0.235
148    0.267915  0.235
149    0.267915  0.235
150    0.267915  0.235
151    0.267915  0.235
152    0.267915  0.235
153    0.267915  0.235
154    0.267915  0.235
155    0.267915  0.235
156    0.267915  0.235
157    0.267915  0.235
158    0.267915  0.235
159    0.267915  0.235
160    0.267915  0.235
161    0.267915  0.235
162    0.267915  0.235
163    0.267915  0.235
164    0.267915  0.235
165    0.267915  0.235
166    0.267915  0.235
167    0.267915  0.235
168    0.267915  0.235
169    0.267915  0.235
170    0.267915  0.235
171    0.267915  0.235
172    0.267915  0.235
173    0.267915  0.235
174    0.267915  0.235
175    0.267915  0.235
176    0.267915  0.235
177    0.267915  0.235
178    0.267915  0.235
179    0.267915  0.235
180    0.267915  0.235
181    0.267915  0.235
182    0.267915  0.235
183    0.267915  0.235
184    0.267915  0.235
185    0.267915  0.235
186    0.267915  0.235
187    0.267915  0.235
188    0.267915  0.235
189    0.267915  0.235
190    0.267915  0.235
191    0.267915  0.235
192    0.267915  0.235
193    0.267915  0.235
194    0.267915  0.235
195    0.267915  0.235
196    0.267915  0.235
197    0.267915  0.235
198    0.267915  0.235
199    0.267915  0.235
200    0.267915  0.235
201    0.267915  0.235
202    0.267915  0.235
203    0.267915  0.235
204    0.267915  0.235
205    0.267915  0.235
206    0.267915  0.235
207    0.267915  0.235
208    0.267915  0.235
209    0.267915  0.235
210    0.267915  0.235
211    0.267915  0.235
212    0.267915  0.235
213    0.267915  0.235
214    0.267915  0.235
215    0.267915  0.235
216    0.267915  0.235
217    0.267915  0.235
218    0.267915  0.235
219    0.267915  0.235
220    0.267915  0.235
221    0.267915  0.235
222    0.267915  0.235
223    0.267915  0.235
224    0.267915  0.235
225    0.267915  0.235
226    0.267915  0.235
227    0.267915  0.235
228    0.267915  0.235
229    0.267915  0.235
230    0.267915  0.235
231    0.267915  0.235
232    0.267915  0.235
233    0.267915  0.235
234    0.267915  0.235
235    0.267915  0.235
236    0.267915  0.235
237    0.267915  0.235
238    0.267915  0.235
239    0.267915  0.235
240    0.267915  0.235
241    0.267915  0.235
242    0.267915  0.235
243    0.267915  0.235
244    0.267915  0.235
245    0.267915  0.235
246    0.267915  0.235
247    0.267915  0.235
248    0.267915  0.235
249    0.267915  0.235
250    0.267915  0.235
251    0.267915  0.235
252    0.267915  0.235
253    0.267915  0.235
254    0.267915  0.235
255    0.267915  0.235
256    0.267915  0.235
257    0.267915  0.235
258    0.267915  0.235
259    0.267915  0.235
260    0.267915  0.235
261    0.267915  0.235
262    0.267915  0.235
263    0.267915  0.235
264    0.267915  0.235
265    0.267915  0.235
266    0.267915  0.235
267    0.267915  0.235
268    0.267915  0.235
269    0.267915  0.235
270    0.267915  0.235
271    0.267915  0.235
272    0.267915  0.235
273    0.267915  0.235
274    0.267915  0.235
275    0.267915  0.235
276    0.267915  0.235
277    0.267915  0.235
278    0.267915  0.235
279    0.267915  0.235
280    0.267915  0.235
281    0.267915  0.235
282    0.267915  0.235
283    0.267915  0.235
284    0.267915  0.235
285    0.267915  0.235
286    0.267915  0.235
287    0.267915  0.235
288    0.267915  0.235
289    0.267915  0.235
290    0.267915  0.235
291    0.267915  0.235
292    0.267915  0.235
293    0.267915  0.235
294    0.267915  0.235
295    0.267915  0.235
296    0.267915  0.235
297    0.267915  0.235
298    0.267915  0.235
299    0.267915  0.235
300    0.267915  0.235
301    0.267915  0.235
302    0.267915  0.235
303    0.267915  0.235
304    0.267915  0.235
305    0.267915  0.235
306    0.267915  0.235
307    0.267915  0.235
308    0.267915  0.235
309    0.267915  0.235
310    0.267915  0.235
311    0.267915  0.235
312    0.267915  0.235
313    0.267915  0.235
314    0.267915  0.235
315    0.267915  0.235
316    0.267915  0.235
