            Guess        True
0      335.355591  335.208419
1      321.804352  321.788984
2      354.579346  354.366200
3      345.320831  345.143036
4      310.983734  311.079078
5      330.852020  330.802418
6      312.791351  312.710175
7      344.329865  344.162007
8      331.603516  331.560168
9      364.850067  364.836449
10     346.628906  346.501419
11     368.091980  367.968169
12     317.395477  317.345430
13     322.692993  322.645271
14     365.372620  365.209598
15     334.322968  334.302103
16     372.078125  372.091058
17     326.380066  326.347067
18     332.173676  332.211135
19     333.377655  333.405058
20     355.645508  355.427473
21     311.465820  311.406410
22     311.739990  311.671586
23     345.971069  345.856378
24     364.395721  364.202447
25     310.203217  310.192140
26     342.815887  342.688295
27     329.848022  329.799604
28     310.286621  310.291694
29     312.831787  312.887684
30     351.925323  351.729333
31     317.754883  317.705833
32     312.786407  312.734039
33     313.597412  313.613163
34     320.593140  320.566212
35     316.026123  316.006987
36     330.089539  330.040271
37     344.721344  344.615505
38     323.608795  323.568848
39     310.739075  310.701552
40     325.939941  325.880621
41     315.510315  315.445489
42     370.057587  369.989414
43     311.411896  311.357764
44     352.067596  352.051719
45     315.509827  315.444810
46     371.555573  371.540744
47     317.200500  317.158870
48     322.658264  322.634193
49     368.014069  367.903336
50     341.467834  341.478179
51     342.896637  342.729660
52     310.513092  310.479773
53     330.343201  330.222185
54     312.840027  312.858916
55     371.466492  371.417966
56     331.115509  330.988586
57     310.528503  310.515007
58     310.876984  310.849306
59     320.626923  320.579741
60     346.762085  346.602310
61     323.810364  323.780601
62     364.882294  364.695333
63     371.680786  371.632729
64     313.711426  313.629006
65     317.783417  317.778819
66     371.894928  371.927500
67     370.066345  370.017916
68     346.841888  346.646214
69     316.055573  316.017515
70     317.411316  317.426219
71     328.059143  328.074519
72     316.201904  316.219028
73     336.232208  336.077218
74     355.198853  354.948789
75     312.188141  312.154675
76     311.605896  311.548587
77     340.147278  339.977205
78     311.553345  311.561458
79     311.123901  311.077290
80     371.970947  371.982588
81     317.061707  317.004050
82     322.799438  322.795027
83     327.297974  327.287856
84     324.253937  324.237500
85     344.229279  344.111694
86     315.245026  315.226484
87     335.397125  335.245729
88     311.740723  311.691043
89     337.644623  337.599731
90     371.665466  371.651575
91     317.710693  317.685921
92     313.211334  313.131833
93     349.134460  349.003002
94     319.908997  319.888909
95     316.357117  316.322466
96     359.976501  359.687935
97     322.276642  322.247468
98     333.305176  333.293655
99     310.505646  310.485794
100    366.133392  365.965311
101    312.475922  312.391802
102    329.954895  329.851458
103    335.671326  335.634305
104    328.346191  328.309562
105    310.403809  310.392525
106    332.126587  332.022429
107    371.749329  371.731446
108    327.908691  327.813265
109    346.412170  346.294842
110    326.027802  326.044337
111    311.631805  311.645992
112    311.532654  311.481147
113    371.909912  371.942963
114    340.294373  340.226200
115    355.025879  354.940946
116    349.915222  349.698815
117    310.539276  310.516785
118    313.562531  313.518671
119    353.745453  353.576479
120    310.956848  310.924351
121    371.830841  371.851117
122    317.057648  317.002659
123    328.532806  328.449093
124    346.231445  346.086491
125    310.517609  310.476045
126    320.129181  320.108872
127    316.098389  316.036382
128    310.265930  310.236069
129    340.600037  340.522658
130    317.885834  317.863455
131    322.032715  322.038538
132    369.245972  369.145175
133    339.063324  339.050560
134    312.031158  311.964541
135    364.911041  364.755373
136    367.572296  367.444654
137    319.939789  319.900464
138    325.716309  325.631218
139    325.076813  325.046977
140    312.400757  312.318195
141    340.913971  340.808495
142    315.475189  315.430659
143    316.550446  316.566724
144    335.259644  335.157690
145    325.408051  325.394714
146    310.703644  310.677708
147    311.146179  311.109347
148    366.622681  366.474329
149    372.186157  372.179045
150    341.954102  341.789498
151    312.115143  312.039126
152    357.755524  357.541918
153    310.887421  310.851071
154    322.555237  322.531664
155    310.916138  310.886740
156    355.184265  355.181649
157    313.042999  312.986627
158    342.161621  342.125657
159    358.408783  358.128751
160    311.282104  311.232110
161    311.092987  311.048677
162    357.902222  357.785990
163    314.539948  314.563272
164    350.918274  350.709198
165    355.105927  354.932392
166    312.710083  312.628972
167    355.185425  355.132179
168    340.575562  340.410608
169    311.871490  311.793337
170    317.618103  317.633145
171    317.569580  317.520777
172    318.115356  318.118191
173    359.881653  359.666279
174    371.766113  371.729020
175    314.690887  314.633938
176    315.583221  315.604510
177    340.142609  340.072755
178    310.949646  310.911473
179    311.368622  311.311047
180    371.763458  371.726604
181    311.692871  311.619984
182    339.722351  339.551714
183    315.598694  315.592236
184    315.102783  315.032940
185    310.925079  310.888639
186    311.045197  311.054563
187    371.898346  371.926919
188    344.277344  344.230629
189    354.132660  354.043436
190    351.889954  351.871295
191    335.422394  335.266169
192    331.167633  331.135792
193    339.710052  339.541172
194    312.402039  312.323831
195    316.838745  316.810462
196    317.743958  317.756039
197    371.973053  371.983136
198    310.558594  310.655431
199    328.531158  328.497010
200    311.415710  311.362100
201    372.298218  372.283502
202    319.538116  319.487814
203    310.634308  310.610599
204    336.655548  336.498684
205    313.578247  313.538841
206    310.441711  310.407255
207    317.936432  317.888713
208    355.783142  355.501438
209    310.838470  310.812989
210    343.294128  343.164255
211    360.487183  360.199363
212    311.125519  311.078676
213    349.956512  349.728058
214    334.432861  334.404544
215    322.462250  322.457372
216    371.851135  371.852238
217    371.716309  371.709995
218    359.194366  359.145652
219    319.602417  319.598657
220    347.876129  347.669342
221    342.846405  342.705019
222    342.944733  342.764108
223    315.444641  315.463092
224    312.951935  312.870146
225    310.342377  310.331950
226    311.682098  311.615507
227    362.094574  362.067654
228    316.698425  316.653593
229    312.280762  312.280980
230    341.965454  341.796020
231    315.103210  315.033331
232    319.289001  319.286980
233    323.885254  323.865361
234    354.738098  354.451821
235    317.678345  317.678070
236    353.619141  353.371959
237    328.855713  328.833102
238    313.059113  313.015250
239    311.573517  311.514715
240    337.174011  337.115734
241    329.663483  329.547575
242    325.091827  325.057366
243    333.824127  333.783548
244    311.837677  311.771287
245    317.703705  317.681334
246    371.826477  371.864961
247    317.943909  317.892848
248    327.879700  327.851534
249    324.257080  324.226529
250    311.740662  311.672879
251    323.511017  323.462510
252    322.059143  322.053945
253    311.739777  311.671602
254    331.147705  331.005191
255    315.089905  315.074046
256    310.509064  310.480423
257    312.714233  312.624540
258    311.800934  311.729680
259    310.569489  310.532825
260    310.256683  310.250552
261    318.059875  318.046068
262    333.082245  333.062383
263    372.356964  372.337513
264    310.798431  310.774212
265    351.900238  351.754267
266    316.200562  316.202301
267    327.602905  327.499671
268    359.148102  358.993334
269    310.283569  310.272699
270    312.047424  311.975373
271    318.082611  318.079086
272    329.927460  329.833012
273    331.088562  331.061272
274    310.920502  310.887303
275    313.954376  313.967316
276    371.878967  371.901917
277    339.653046  339.586894
278    339.781372  339.707757
279    310.394257  310.394547
280    319.725739  319.684465
281    333.428558  333.274102
282    315.364777  315.300647
283    365.342529  365.163743
284    313.590485  313.515730
285    368.151825  368.094406
286    313.394684  313.321486
287    371.743744  371.795884
288    312.791626  312.709710
289    314.832764  314.768410
290    350.535461  350.394234
291    318.018890  318.030154
292    314.690613  314.633890
293    315.806641  315.739144
294    310.887329  310.850742
295    310.976624  310.941250
296    311.792938  311.730628
297    322.719360  322.701406
298    351.413025  351.353510
299    310.361389  310.377474
300    310.994019  310.965605
301    314.867767  314.877296
302    371.317047  371.237194
303    348.932159  348.707397
304    318.117218  318.122994
305    371.989532  371.984944
306    341.907990  341.766890
307    318.116119  318.070104
308    311.932556  311.908348
309    344.639465  344.544429
310    320.171204  320.126069
311    361.472504  361.219409
312    371.539154  371.523209
313    372.411438  372.331141
314    318.492767  318.450957
315    332.923737  332.804419
316    315.996094  315.980060
317    313.896515  313.829188
318    337.755066  337.684573
319    312.632416  312.548758
320    312.327484  312.296503
321    312.048676  312.015804
322    310.432617  310.425952
323    310.524017  310.505019
324    347.702057  347.571514
325    311.911926  311.852658
326    311.312714  311.263076
327    311.078644  311.045932
328    342.449188  342.460286
329    361.962585  361.745971
330    343.745636  343.629965
331    311.029144  311.056101
332    310.791473  310.766843
333    371.828217  371.862158
334    319.061340  319.059436
335    311.690948  311.619576
336    329.916016  329.825784
337    364.815643  364.614984
338    348.532837  348.469296
339    330.403381  330.374756
340    342.851288  342.772896
341    361.967346  361.703411
342    315.508789  315.501862
343    354.042999  353.988742
344    311.369781  311.330585
345    339.512207  339.497886
346    314.149780  314.150292
347    313.030060  312.950663
348    340.893372  340.805134
349    310.681854  310.654812
350    315.787689  315.792361
351    335.514038  335.518677
352    311.133881  311.090629
353    371.313354  371.233883
354    312.715027  312.625201
355    371.833618  371.820769
356    310.347961  310.364823
357    311.693970  311.620841
358    316.127930  316.211401
359    359.788269  359.728232
360    311.075317  311.047847
361    317.348206  317.364453
362    314.981812  314.909507
363    314.215820  314.155812
364    311.222260  311.175389
365    310.566528  310.524978
366    314.824371  314.766412
367    314.068024  314.010241
368    311.569916  311.508351
369    313.852081  313.899560
370    344.868011  344.756694
371    362.467255  362.245377
372    340.150604  339.980406
373    311.231476  311.183523
374    330.004700  329.881149
375    318.898376  318.853461
376    337.048004  336.889496
377    310.661896  310.620986
378    371.832214  371.866827
379    315.384857  315.389530
380    311.748260  311.675492
381    316.661194  316.638949
382    345.322052  345.143705
383    321.738770  321.733539
384    320.522705  320.516934
385    371.924530  371.910155
386    353.601501  353.360201
387    310.811371  310.778915
388    310.225922  310.208773
389    312.795135  312.705311
390    320.559204  320.548146
391    310.310394  310.302368
392    355.993195  355.870261
393    317.041779  317.041225
394    315.396027  315.392153
395    310.742126  310.701515
396    334.583832  334.436724
397    329.521179  329.560755
398    326.645721  326.643124
399    312.521393  312.473651
400    313.381805  313.392228
401    324.969116  324.954040
402    310.249969  310.275383
403    310.551788  310.584595
404    312.393921  312.335652
405    323.957703  323.887103
406    311.589294  311.527202
407    311.033661  311.021645
408    312.757263  312.773541
409    310.463287  310.454613
410    348.879517  348.740090
411    319.945312  319.956921
412    322.326599  322.304597
413    310.683044  310.672290
414    360.399048  360.190488
415    324.510315  324.481677
416    332.706543  332.662316
417    317.006073  316.979308
418    312.528625  312.519093
419    324.620544  324.598435
420    336.116119  336.053310
421    318.119507  318.126730
422    354.735352  354.450826
423    331.524506  331.375884
424    337.107391  336.941146
425    345.240875  345.100768
426    371.572113  371.552501
427    322.711914  322.698377
428    316.941498  316.951832
429    327.871033  327.790021
430    355.813019  355.511786
431    312.408295  312.320269
432    319.703918  319.676828
433    366.633911  366.484506
434    310.966492  310.926008
435    331.324890  331.244653
436    322.442230  322.420286
437    334.191101  334.045321
438    313.458527  313.415498
439    368.740082  368.678195
440    369.946167  369.862265
441    321.623993  321.606428
442    343.951447  343.752369
443    315.316956  315.317911
444    353.482758  353.285071
445    321.782135  321.753312
446    326.716492  326.700546
